title,url
A Visual Introduction to Machine Learning (2015),https://r2d3.us/visual-intro-to-machine-learning-part-1/
What makes Intel Optane stand out (2023),https://blog.zuthof.nl/2023/06/02/what-makes-intel-optane-stand-out/
Show HN: Signet – Autonomous wildfire tracking from satellite and weather data,https://signet.watch
Rack-mount hydroponics,https://sa.lj.am/rack-mount-hydroponics/
Glassworm Is Back: A New Wave of Invisible Unicode Attacks Hits Repositories,https://www.aikido.dev/blog/glassworm-returns-unicode-attack-github-npm-vscode
"IBM, sonic delay lines, and the history of the 80×24 display",https://www.righto.com/2019/11/ibm-sonic-delay-lines-and-history-of.html
Generating All 32-Bit Primes (Part I),https://hnlyman.github.io/pages/prime32_I.html
Show HN: What if your synthesizer was powered by APL (or a dumb K clone)?,https://octetta.github.io/k-synth/
$96 3D-printed rocket that recalculates its mid-air trajectory using a $5 sensor,https://github.com/novatic14/MANPADS-System-Launcher-and-Rocket
100 hour gap between a vibecoded prototype and a working product,https://kanfa.macbudkowski.com/vibecoding-cryptosaurus
A Theory of the World as run by large adult children,https://tomclancy.info/harold-and-george.html
The Appalling Stupidity of Spotify's AI DJ,https://www.charlespetzold.com/blog/2026/02/The-Appalling-Stupidity-of-Spotifys-AI-DJ.html
Kniterate Notes,https://soup.agnescameron.info//2026/03/07/kniterate-notes.html
Examples for the tcpdump and dig man pages,https://jvns.ca/blog/2026/03/10/examples-for-the-tcpdump-and-dig-man-pages/
A most elegant TCP hole punching algorithm,https://robertsdotpm.github.io/cryptography/tcp_hole_punching.html
"Pentagon expands oversight of Stars and Stripes, limits content",https://www.stripes.com/theaters/us/2026-03-13/pentagon-modernization-plan-stars-and-stripes-21051529.html
How kernel anti-cheats work,https://s4dbrd.github.io/posts/how-kernel-anti-cheats-work/
Treasure hunter freed from jail after refusing to turn over shipwreck gold,https://www.bbc.com/news/articles/cg4g7kn99q3o
Why Mathematica does not simplify sinh(arccosh(x)),https://www.johndcook.com/blog/2026/03/10/sinh-arccosh/
"Allow me to get to know you, mistakes and all",https://sebi.io/posts/2026-03-14-allow-me-to-get-to-know-you-mistakes-and-all/
Human Organ Atlas,https://www.science.org/doi/10.1126/sciadv.adz2240
Show HN: Han – A Korean programming language written in Rust,https://github.com/xodn348/han
SBCL Fibers – Lightweight Cooperative Threads,https://atgreen.github.io/repl-yell/posts/sbcl-fibers/
Centuries of selective breeding turned wild cabbage into different vegetables,https://www.worksinprogress.news/p/many-of-the-tastiest-vegetables-are
Bumblebee queens breathe underwater to survive drowning,https://www.smithsonianmag.com/science-nature/bumblebee-queens-breathe-underwater-to-survive-drowning-revealing-how-they-can-live-submerged-for-a-week-180988330/
Ageless Linux – Software for humans of indeterminate age,https://agelesslinux.org/
MCP is dead; long live MCP,https://chrlschn.dev/blog/2026/03/mcp-is-dead-long-live-mcp/
Slicing Bezier Surfaces,https://fatih-erikli-potato.github.io/blog/slicing-bezier-surfaces.html
"Small U.S. town, big company. Can it weather the tariff Blizzard? (Digi-Key) (2025)",https://www.npr.org/2025/04/24/nx-s1-5332209/digikey-tariff-small-minnesota-town-big-company
Mathematics Distillation Challenge – Equational Theories,https://terrytao.wordpress.com/2026/03/13/mathematics-distillation-challenge-equational-theories/
The Official DR DOS Website,https://www.dr-dos.com/
Tree Search Distillation for Language Models Using PPO,https://ayushtambde.com/blog/tree-search-distillation-for-language-models-using-ppo/
"A look inside Dialector, filmmaker Chris Marker's chatbot from 1988",https://kubicki.org/letters/the-festival-of-the-machines/
An ode to bzip,https://purplesyringa.moe/blog/an-ode-to-bzip/
PSA: Top Google Result for Claude Code Is Malicious,https://onemillionwords.substack.com/p/top-google-result-for-claude-code
A Recursive Algorithm to Render Signed Distance Fields,https://pointersgonewild.com/2026-03-06-a-recursive-algorithm-to-render-signed-distance-fields/
"Baochip-1x: What it is, why I'm doing it now and how it came about",https://www.crowdsupply.com/baochip/dabao/updates/what-it-is-why-im-doing-it-now-and-how-it-came-about
Marketing for Founders,https://github.com/EdoStra/Marketing-for-Founders
How North Korean IT Workers Infiltrated Western Tech Companies,https://www.nbcnews.com/investigations/north-korea-it-worker-scheme-nisos-fbi-rcna245025
Fedora 44 on the Raspberry Pi 5,https://nullr0ute.com/2026/03/fedora-44-on-the-raspberry-pi-5/
Hostile Volume – A game about adjusting volume with intentionally bad UI,https://hostilevolume.com/
9 Mothers Defense (YC P26) Is Hiring in Austin,https://jobs.ashbyhq.com/9-mothers?utm_source=x8pZ4B3P3Q
Library of Short Stories,https://www.libraryofshortstories.com/
The mechanics of autonomous software translation,https://alperenkeles.com/posts/autonomous-translations/
1M context is now generally available for Opus 4.6 and Sonnet 4.6,https://claude.com/blog/1m-context-ga
Python: The Optimization Ladder,https://cemrehancavdar.com/2026/03/10/optimization-ladder/
Postgres with Builtin File Systems,https://db9.ai/
Honda is killing its EVs – and any chance of competing in the future,https://techcrunch.com/2026/03/14/honda-is-killing-its-evs-and-any-chance-of-competing-in-the-future/
Montana passes Right to Compute act (2025),https://www.westernmt.news/2025/04/21/montana-leads-the-nation-with-groundbreaking-right-to-compute-act/
Starlink militarization and its impact on global strategic stability (2023),https://interpret.csis.org/translations/starlink-militarization-and-its-impact-on-global-strategic-stability/
Z80-MBC2: a 4 ICs homebrew Z80 computer,https://hackaday.io/project/159973-z80-mbc2-a-4-ics-homebrew-z80-computer
Megadev: A Development Kit for the Sega Mega Drive and Mega CD Hardware,https://github.com/drojaazu/megadev
Airbus is preparing two uncrewed combat aircraft,https://www.airbus.com/en/newsroom/press-releases/2026-03-airbus-is-preparing-two-uncrewed-combat-aircraft-from-kratos-for-first-flight-with-a-european
Discovering Little Worlds (2020),https://dmitrybrant.com/2020/08/01/discovering-little-worlds
Can I run AI locally?,https://www.canirun.ai/
"Show HN: Ichinichi – One note per day, E2E encrypted, local-first",
The Enterprise Context Layer,https://andychen32.substack.com/p/the-enterprise-context-layer
We turned plastic waste into vinegar: A sunlight-powered breakthrough,https://phys.org/news/2026-03-plastic-vinegar-sunlightpowered-breakthrough.html
XML is a cheap DSL,https://unplannedobsolescence.com/blog/xml-cheap-dsl/
Launching the Claude Partner Network,https://www.anthropic.com/news/claude-partner-network
Learning Creative Coding,https://stigmollerhansen.dk/resume/learning-creative-coding/
Show HN: GitAgent – An open standard that turns any Git repo into an AI agent,https://www.gitagent.sh/
Changes to OpenTTD Distribution on Steam,https://www.openttd.org/news/2026/03/14/steam-changes
Coding after coders: The end of computer programming as we know it?,https://www.nytimes.com/2026/03/12/magazine/ai-coding-programming-jobs-claude-chatgpt.html?smid=url-share
Generalizing Knuth's Pseudocode Architecture From Algorithms to Knowledge,https://www.researchgate.net/publication/401189185_Towards_a_Generalization_of_Knuth%27s_Pseudocode_Architecture_From_Algorithms_to_Knowledge
Show HN: GrobPaint: Somewhere Between MS Paint and Paint.net,https://github.com/groverburger/grobpaint
The Isolation Trap: Erlang,https://causality.blog/essays/the-isolation-trap/
Qatar helium shutdown puts chip supply chain on a two-week clock,https://www.tomshardware.com/tech-industry/qatar-helium-shutdown-puts-chip-supply-chain-on-a-two-week-clock
Wired headphone sales are exploding,https://www.bbc.com/future/article/20260310-wired-headphones-are-better-than-bluetooth
"I beg you to follow Crocker's Rules, even if you will be rude to me",https://lr0.org/blog/p/crocker/
Life as an OnlyFans 'chatter',https://www.bbc.com/news/articles/cq571g9gd4lo
An interactive presentation about the Grammar of Graphic,https://timeplus-io.github.io/gg-vistral-introduction/
Everything you never wanted to know about visually-hidden,https://dbushell.com/2026/02/20/visually-hidden/
Sunsetting Jazzband,https://jazzband.co/news/2026/03/14/sunsetting-jazzband
Atari 2600 BASIC Programming (2015),https://huguesjohnson.com/programming/atari-2600-basic/
Nmap in the movies (2008),https://nmap.org/movies/
Games with loot boxes to get minimum 16 age rating across Europe,https://www.bbc.com/news/articles/cge84xqjg5lo
It's time to move your docs in the repo,https://www.dein.fr/posts/2026-03-13-its-time-to-move-your-docs-in-the-repo
Launch HN: Spine Swarm (YC S23) – AI agents that collaborate on a visual canvas,https://www.getspine.ai/
Analyzing Nvidia GB10's GPU,https://chipsandcheese.com/p/analyzing-nvidia-gb10s-gpu
An old photo of a large BBS (2022),https://rachelbythebay.com/w/2022/01/26/swcbbs/
Elon Musk pushes out more xAI founders as AI coding effort falters,https://www.ft.com/content/e5fbc6c2-d5a6-4b97-a105-6a96ea849de5
Show HN: Channel Surfer – Watch YouTube like it’s cable TV,https://channelsurfer.tv
I'm 60 years old. Claude Code killed a passion,
Malus – Clean Room as a Service,https://malus.sh
My fireside chat about agentic engineering at the Pragmatic Summit,https://simonwillison.net/2026/Mar/14/pragmatic-summit/
RAM kits are now sold with one fake RAM stick alongside a real one,https://www.tomshardware.com/pc-components/ram/fake-ram-bundled-with-real-ram-to-create-a-performance-illusion-for-amd-users-1-1-value-pack-offers-desperate-psychological-relief-as-the-memory-shortage-worsens
ArXiv is establishing itself as an independent nonprofit organization,https://jobs.chronicle.com/job/37961678/chief-executive-officer
New 'negative light' technology hides data transfers in plain sight,https://www.unsw.edu.au/newsroom/news/2026/03/New-negative-light-technology-hides-data-transfers-in-plain-sight
Digg is gone again,https://digg.com/
Recursive Problems Benefit from Recursive Solutions,https://jnkr.tech/blog/recursive-benefits-recursive
Show HN: Context Gateway – Compress agent context before it hits the LLM,https://github.com/Compresr-ai/Context-Gateway
Claude March 2026 usage promotion,https://support.claude.com/en/articles/14063676-claude-march-2026-usage-promotion
TUI Studio – visual terminal UI design tool,https://tui.studio/
The enshittification of Amazon paperback books,https://www.alexerhardt.com/en/enshittification-amazon-paperback-books/
Refinement Modeling and Verification of RISC-V Assembly Using Knuckledragger,https://www.philipzucker.com/refine_assembly/
The Wyden Siren Goes Off Again: We’ll Be “Stunned” By What the NSA Is Doing,https://www.techdirt.com/2026/03/12/the-wyden-siren-goes-off-again-well-be-stunned-by-what-the-nsa-is-doing-under-section-702/
Parallels confirms MacBook Neo can run Windows in a virtual machine,https://www.macrumors.com/2026/03/13/macbook-neo-runs-windows-11-vm/
Mouser: An open source alternative to Logi-Plus mouse software,https://github.com/TomBadash/MouseControl
Show HN: Data-anim – Animate HTML with just data attributes,https://github.com/ryo-manba/data-anim
